#Initial conditions:
#x =  80 (kpc), y =  0 (kpc), z =  0 (kpc), vx =  0 (km/s), vy =  0 (km/s), vz =  80 (km/s),
#positions, velocities and accelerations are relative to a (0,0,0) point
#Columns
# t(Gyrs), x_sat(kpc), y_sat(Kpc), z_sat(Kpc), x_mw(Kpc), y_mw(Kpc), z_mw(Kpc), vx_sat(Kpc/Gyr), vy_sat(Kpc/Gyr), vz_sat(Kpc/Gyr), vx_mw(Kpc/Gyr), vy_mw(Kpc/Gyr), vz_mw(Kpc/Gyr), ax_sat(Kpc/Gyr2), ay_sat(kpc/Gyrs2), az_sat(Kpc/Gyr2), axmw(Kpc/Gyr2), aymw(Kpc/Gyr2), azmw(Kpc/Gyr2)
0.0 80.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 81.8169732043 0.0 0.0 0.0 -496.979452041 -0.0 -81.6041612123 52.026284245 0.0 0.0
-0.001 80.0 0.0 -0.0818169732043 0.0 0.0 0.0 0.496979452041 0.0 81.8985773655 0.0 0.0 0.0 -497.474336021 -0.0 -81.1047085922 0.0 0.0 0.0
-0.002 79.9990060411 0.0 -0.163797154731 0.0 0.0 0.0 0.994948672042 0.0 81.9791826215 0.0 0.0 0.0 -497.474336021 -0.0 -81.1047085922 0.0 0.0 0.0
-0.003 79.9980101027 0.0 -0.245775338447 0.0 0.0 0.0 1.49192812408 0.0 82.0607867827 0.0 0.0 0.0 -497.976076734 -0.0 -80.6071310299 0.0 0.0 0.0
-0.004 79.9960221848 0.0 -0.327918728296 0.0 0.0 0.0 1.99090082551 0.0 82.1403968835 0.0 0.0 0.0 -498.475238793 -0.0 -80.1143884935 0.0 0.0 0.0
-0.005 79.994028301 0.0 -0.410056132214 0.0 0.0 0.0 2.48887860167 0.0 82.2210155597 0.0 0.0 0.0 -498.98227573 -0.0 -79.6258622869 0.0 0.0 0.0
-0.006 79.9910444276 0.0 -0.492360759416 0.0 0.0 0.0 2.98886537697 0.0 82.2996486081 0.0 0.0 0.0 -499.486772139 -0.0 -79.1429213732 0.0 0.0 0.0
-0.007 79.9880505703 0.0 -0.574655429431 0.0 0.0 0.0 3.48785214595 0.0 82.3793014024 0.0 0.0 0.0 -499.999181415 -0.0 -78.6632459968 0.0 0.0 0.0
-0.008 79.9840687234 0.0 -0.657119362221 0.0 0.0 0.0 3.9888637398 0.0 82.4569751001 0.0 0.0 0.0 -500.509084325 -0.0 -78.1874948471 0.0 0.0 0.0
-0.009 79.9800728428 0.0 -0.739569379631 0.0 0.0 0.0 4.4888703146 0.0 82.5356763921 0.0 0.0 0.0 -501.026928243 -0.0 -77.7131338898 0.0 0.0 0.0
-0.01 79.9750909827 0.0 -0.822190715005 0.0 0.0 0.0 4.99091759628 0.0 82.6124013679 0.0 0.0 0.0 -501.542289765 -0.0 -77.2410611721 0.0 0.0 0.0
-0.011 79.9700910076 0.0 -0.904794182367 0.0 0.0 0.0 5.49195489413 0.0 82.6901585145 0.0 0.0 0.0 -502.065610162 -0.0 -76.7689542586 0.0 0.0 0.0
-0.012 79.9641070729 0.0 -0.987571032034 0.0 0.0 0.0 5.99504881661 0.0 82.7659392764 0.0 0.0 0.0 -502.586464425 -0.0 -76.2980691129 0.0 0.0 0.0
-0.013 79.9581009099 0.0 -1.07032606092 0.0 0.0 0.0 6.49712782298 0.0 82.8427546527 0.0 0.0 0.0 -503.115288464 -0.0 -75.8262523165 0.0 0.0 0.0
-0.014 79.9511128173 0.0 -1.15325654134 0.0 0.0 0.0 7.00127939354 0.0 82.917591781 0.0 0.0 0.0 -503.641658135 -0.0 -75.3550321032 0.0 0.0 0.0
-0.015 79.9440983512 0.0 -1.23616124448 0.0 0.0 0.0 7.50441113925 0.0 82.9934647169 0.0 0.0 0.0 -504.176004191 -0.0 -74.8823265577 0.0 0.0 0.0
-0.016 79.936103995 0.0 -1.31924347077 0.0 0.0 0.0 8.00963140192 0.0 83.0673564342 0.0 0.0 0.0 -504.7079053 -0.0 -74.4098570116 0.0 0.0 0.0
-0.017 79.9280790884 0.0 -1.40229595735 0.0 0.0 0.0 8.51382694985 0.0 83.1422844309 0.0 0.0 0.0 -505.247786732 -0.0 -73.9355460748 0.0 0.0 0.0
-0.018 79.9190763411 0.0 -1.48552803963 0.0 0.0 0.0 9.02012697538 0.0 83.2152275263 0.0 0.0 0.0 -505.785231543 -0.0 -73.4612601834 0.0 0.0 0.0
-0.019 79.9100388344 0.0 -1.5687264124 0.0 0.0 0.0 9.52539741293 0.0 83.2892069513 0.0 0.0 0.0 -506.330658857 -0.0 -72.9848879928 0.0 0.0 0.0
-0.02 79.9000255463 0.0 -1.65210645354 0.0 0.0 0.0 10.0327882931 0.0 83.3611973023 0.0 0.0 0.0 -506.87365749 -0.0 -72.5084145997 0.0 0.0 0.0
-0.021 79.8899732578 0.0 -1.73544880701 0.0 0.0 0.0 10.5391447279 0.0 83.4342237805 0.0 0.0 0.0 -507.424639566 -0.0 -72.0296733375 0.0 0.0 0.0
-0.022 79.8789472568 0.0 -1.8189749011 0.0 0.0 0.0 11.0476375722 0.0 83.505256649 0.0 0.0 0.0 -507.973200926 -0.0 -71.5507536435 0.0 0.0 0.0
-0.023 79.8678779827 0.0 -1.9024593203 0.0 0.0 0.0 11.5550911298 0.0 83.5773252878 0.0 0.0 0.0 -508.529745721 -0.0 -71.0694215077 0.0 0.0 0.0
-0.024 79.8558370746 0.0 -1.98612955167 0.0 0.0 0.0 12.0646970637 0.0 83.647395492 0.0 0.0 0.0 -509.083878037 -0.0 -70.5878629013 0.0 0.0 0.0
-0.025 79.8437485885 0.0 -2.06975411129 0.0 0.0 0.0 12.5732588858 0.0 83.7185010136 0.0 0.0 0.0 -509.645993003 -0.0 -70.1037694834 0.0 0.0 0.0
-0.026 79.8306905568 0.0 -2.1535665537 0.0 0.0 0.0 13.0839890497 0.0 83.7876030309 0.0 0.0 0.0 -510.205704152 -0.0 -69.6194194585 0.0 0.0 0.0
-0.027 79.8175806104 0.0 -2.23732931735 0.0 0.0 0.0 13.5936702941 0.0 83.8577398525 0.0 0.0 0.0 -510.773396491 -0.0 -69.132425917 0.0 0.0 0.0
-0.028 79.8035032162 0.0 -2.32128203341 0.0 0.0 0.0 14.1055358427 0.0 83.9258678828 0.0 0.0 0.0 -511.338694199 -0.0 -68.645156921 0.0 0.0 0.0
-0.029 79.7893695388 0.0 -2.40518105312 0.0 0.0 0.0 14.6163476825 0.0 83.9950301663 0.0 0.0 0.0 -511.911971025 -0.0 -68.155144292 0.0 0.0 0.0
-0.03 79.7742705208 0.0 -2.48927209374 0.0 0.0 0.0 15.1293597847 0.0 84.0621781714 0.0 0.0 0.0 -512.482862999 -0.0 -67.6648446593 0.0 0.0 0.0
-0.031 79.7591108192 0.0 -2.57330540946 0.0 0.0 0.0 15.6413134085 0.0 84.1303598557 0.0 0.0 0.0 -513.061731442 -0.0 -67.1717067604 0.0 0.0 0.0
-0.032 79.742987894 0.0 -2.65753281345 0.0 0.0 0.0 16.1554832476 0.0 84.1965215849 0.0 0.0 0.0 -513.638225454 -0.0 -66.6782751296 0.0 0.0 0.0
-0.033 79.7267998527 0.0 -2.74169845263 0.0 0.0 0.0 16.6685898594 0.0 84.2637164059 0.0 0.0 0.0 -514.222692729 -0.0 -66.1819141281 0.0 0.0 0.0
-0.034 79.7096507143 0.0 -2.82606024626 0.0 0.0 0.0 17.1839286331 0.0 84.3288854131 0.0 0.0 0.0 -514.804796678 -0.0 -65.6852559083 0.0 0.0 0.0
-0.035 79.6924319954 0.0 -2.91035622346 0.0 0.0 0.0 17.6981994528 0.0 84.3950869177 0.0 0.0 0.0 -515.394870137 -0.0 -65.18557948 0.0 0.0 0.0
-0.036 79.6742543154 0.0 -2.9948504201 0.0 0.0 0.0 18.2147183733 0.0 84.4592565721 0.0 0.0 0.0 -515.982592084 -0.0 -64.6856045558 0.0 0.0 0.0
-0.037 79.6560025587 0.0 -3.0792747366 0.0 0.0 0.0 18.730164637 0.0 84.5244581268 0.0 0.0 0.0 -516.57827925 -0.0 -64.1825240164 0.0 0.0 0.0
-0.038 79.6367939861 0.0 -3.16389933635 0.0 0.0 0.0 19.2478749318 0.0 84.5876216201 0.0 0.0 0.0 -517.171627453 -0.0 -63.6791452214 0.0 0.0 0.0
-0.039 79.6175068088 0.0 -3.24844997984 0.0 0.0 0.0 19.7645078919 0.0 84.6518164173 0.0 0.0 0.0 -517.772936046 -0.0 -63.1725742698 0.0 0.0 0.0
-0.04 79.5972649703 0.0 -3.33320296919 0.0 0.0 0.0 20.2834208039 0.0 84.7139667687 0.0 0.0 0.0 -518.371918981 -0.0 -62.6657063472 0.0 0.0 0.0
-0.041 79.5769399672 0.0 -3.41787791338 0.0 0.0 0.0 20.8012517298 0.0 84.77714783 0.0 0.0 0.0 -518.978856936 -0.0 -62.1555601996 0.0 0.0 0.0
