#Initial conditions:
#x =  80 (kpc), y =  0 (kpc), z =  0 (kpc), vx =  0 (km/s), vy =  0 (km/s), vz =  80 (km/s),
#positions, velocities and accelerations are relative to a (0,0,0) point
# t(Gyrs), x_sat(kpc), y_sat(Kpc), z_sat(Kpc), x_mw(Kpc), y_mw(Kpc), z_mw(Kpc), vx_sat(Kpc/Gyr), vy_sat(Kpc/Gyr), vz_sat(Kpc/Gyr), vx_mw(Kpc/Gyr), vy_mw(Kpc/Gyr), vz_mw(Kpc/Gyr), ax_sat(Kpc/Gyr2), ay_sat(kpc/Gyrs2), az_sat(Kpc/Gyr2), axmw(Kpc/Gyr2), aymw(Kpc/Gyr2), azmw(Kpc/Gyr2)
0.0 80.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 81.8169732043 0.0 0.0 0.0 -496.979452041 -0.0 -81.6041612123 52.026284245 0.0 0.0
-0.001 80.0 0.0 -0.0818169732043 0.0 0.0 0.0 0.496979452041 0.0 81.8985773655 -0.052026284245 0.0 0.0 -497.526209884 -0.0 -81.1046056076 52.0262102271 0.0 -0.0532078381009
-0.002 79.9990060411 0.0 -0.163797154731 0.00010405256849 0.0 0.0 0.995052419767 0.0 81.9791824155 -0.104052420454 0.0 0.000106415676202 -497.526209884 -0.0 -81.1046056076 52.0272160951 -0.0 -0.106525336637
-0.003 79.9980098952 0.0 -0.245775338035 0.000208104840909 0.0 -2.12831352404e-07 1.49203187181 0.0 82.0607865767 -0.156080716435 0.0 0.000213050673275 -498.080676258 -0.0 -80.606822706 52.0280758056 -0.0 -0.159844477712
-0.004 79.9960219774 0.0 -0.327918727884 0.00041621400136 0.0 -4.2610134655e-07 1.99121377228 0.0 82.1403960609 -0.208108572066 0.0 0.000426104631625 -498.632424573 -0.0 -80.1136676209 52.0300118487 -0.0 -0.213281629214
-0.005 79.9940274676 0.0 -0.410056130157 0.00062432198504 0.0 -1.06504061565e-06 2.48929672095 0.0 82.221013912 -0.260140740133 0.0 0.000639613931703 -499.193001551 -0.0 -79.6246171434 52.0318061494 -0.0 -0.266720814713
-0.006 79.9910433839 0.0 -0.492360755708 0.000936495481626 0.0 -1.70532920996e-06 2.98959977539 0.0 82.2996452952 -0.312172184364 0.0 0.000959546261052 -499.750896299 -0.0 -79.1409430374 52.0346732911 -0.0 -0.320286386967
-0.007 79.9880482681 0.0 -0.574655420748 0.00124866635377 0.0 -2.98413313776e-06 3.48879851355 0.0 82.379295798 -0.364210086715 0.0 0.00128018670564 -500.317656387 -0.0 -78.6604137887 52.037403204 -0.0 -0.373854444673
-0.008 79.9840657869 0.0 -0.657119347304 0.00166491565506 0.0 -4.26570262123e-06 3.99023508816 0.0 82.4569661228 -0.416246990772 0.0 0.0017072551504 -500.88176618 -0.0 -78.1835982223 52.0412025274 -0.0 -0.427557296017
-0.009 79.9800677979 0.0 -0.739569352993 0.00208116033531 0.0 -6.39864343855e-06 4.49056204591 0.0 82.5356629945 -0.468292491769 0.0 0.00213530129767 -501.454768116 -0.0 -77.7080433541 52.0448692347 -0.0 -0.481263143375
-0.01 79.9750846628 0.0 -0.822190673293 0.00260150063859 0.0 -8.53630521657e-06 4.99314462439 0.0 82.6123822095 -0.520336729242 0.0 0.00266978143715 -502.025141576 -0.0 -77.2345645581 52.049601982 -0.0 -0.535112219789
-0.011 79.9700815086 0.0 -0.904794117412 0.0031218337938 0.0 -1.17382063128e-05 5.49461232906 0.0 82.6901321236 -0.572391695733 0.0 0.00320552573725 -502.604423699 -0.0 -76.7609132834 52.0542068261 -0.0 -0.588964858628
-0.012 79.9640954381 0.0 -0.987570937541 0.00374628403006 0.0 -1.49473566911e-05 5.99835347179 0.0 82.7659040361 -0.624445142894 0.0 0.0038477111544 -503.181091542 -0.0 -76.2882699501 52.059874399 -0.0 -0.642969188539
-0.013 79.9580848017 0.0 -1.07032592548 0.00437072407958 0.0 -1.94336286217e-05 6.50097451215 0.0 82.8427086635 -0.676511444531 0.0 0.00449146411433 -503.76667759 -0.0 -75.8145478715 52.0654188823 -0.0 -0.696977701084
-0.014 79.9510934891 0.0 -1.15325635487 0.00509930691912 0.0 -2.39302849197e-05 7.00588682697 0.0 82.9175331318 -0.728575980659 0.0 0.00524166655657 -504.349659155 -0.0 -75.3412068513 52.0720228421 -0.0 -0.75114639288
