     pmw          pmn          x          y          z          vx          vy          vz
     -1.9204      0.2280     -1.3216    -39.6065    -26.8540    -53.4726   -219.1207    209.0757
     -1.9255      0.2637     -1.5287    -38.4294    -26.0559    -58.6139   -211.1780    199.2293
     -1.9386      0.2210     -1.0091    -41.3828    -28.0584    -56.8149   -233.5833    228.1069
     -1.9065      0.1752     -0.4416    -44.6085    -30.2455    -52.9343   -246.5916    253.8458
     -1.8739      0.2391     -0.3656    -45.0405    -30.5384    -69.7784   -242.6505    249.6119
     -1.8697      0.1641     -1.1506    -40.5787    -27.5132    -39.9900   -216.9690    211.1660
     -1.9150      0.1601     -1.0446    -41.1808    -27.9214    -42.4139   -222.4111    228.3028
     -1.9086      0.2305     -0.7058    -43.1065    -29.2271    -63.7758   -234.4738    241.0675
     -1.8888      0.2022     -0.9658    -41.6286    -28.2251    -51.9518   -226.1136    222.6596
     -1.9039      0.2617     -0.7985    -42.5797    -28.8699    -69.3898   -233.3428    232.4701
     -1.8941      0.2076     -0.9598    -41.6629    -28.2483    -53.1303   -228.9757    222.5243
     -1.9036      0.1355     -1.0306    -41.2606    -27.9756    -36.0494   -223.6208    226.0871
     -1.9078      0.1687     -0.8013    -42.5638    -28.8592    -47.6385   -228.6420    239.8463
     -1.8943      0.2967     -1.4175    -39.0615    -26.4845    -67.5077   -208.1041    200.0850
     -1.9316      0.2535     -1.1071    -40.8257    -27.6807    -62.3983   -231.3704    219.1084
     -1.9124      0.1188     -0.9090    -41.9514    -28.4439    -33.2461   -231.7182    232.7968
     -1.9006      0.2224     -1.5743    -38.1704    -25.8804    -49.4170   -199.4252    198.4669
     -1.9416      0.2141     -1.1891    -40.3597    -27.3647    -53.1199   -224.8248    221.5103
     -1.9174      0.1708     -0.6481    -43.4348    -29.4497    -49.5691   -240.2266    246.2264
     -1.8855      0.1979     -1.1349    -40.6676    -27.5735    -49.1431   -216.0284    216.2688
     -1.9141      0.2839     -1.1910    -40.3491    -27.3575    -68.6243   -220.4899    214.2798
     -1.9175      0.3589     -1.8073    -36.8458    -24.9822    -73.3530   -204.3522    178.0775
     -1.9569      0.1511     -1.8915    -36.3672    -24.6577    -28.9624   -208.1433    185.4522
     -1.9626      0.2305     -1.4065    -39.1243    -26.5271    -54.9472   -215.5151    216.5653
     -1.9309      0.2739     -1.3859    -39.2414    -26.6065    -63.2695   -217.3720    206.8322
     -1.9296      0.2986     -1.0112    -41.3707    -28.0502    -74.6929   -233.8385    222.5235
     -1.9066      0.1828     -1.0101    -41.3770    -28.0544    -46.5563   -230.7461    222.0498
     -1.9066      0.2148     -0.7564    -42.8190    -29.0322    -58.8979   -233.4828    237.9238
     -1.8917      0.1876     -1.3537    -39.4242    -26.7305    -43.5780   -211.4847    205.3018
     -1.9275      0.1620     -0.8394    -42.3473    -28.7123    -45.5594   -233.0260    240.0828
     -1.8965      0.1666     -1.2315    -40.1187    -27.2013    -41.0719   -213.1342    215.2344
     -1.9200      0.2438     -0.8633    -42.2117    -28.6204    -64.8876   -230.8990    234.6676
     -1.8979      0.2265     -0.6595    -43.3699    -29.4057    -62.2723   -239.5027    238.0090
     -1.8861      0.2406     -0.9663    -41.6259    -28.2232    -60.9867   -225.9760    220.6407
     -1.9039      0.2271     -1.1709    -40.4631    -27.4348    -55.1546   -221.6912    214.0028
     -1.9163      0.2570     -1.5932    -38.0627    -25.8073    -55.9035   -207.5115    194.6458
     -1.9428      0.2137     -0.6804    -43.2507    -29.3249    -60.0107   -245.7860    246.1485
     -1.8873      0.2308     -0.7953    -42.5978    -28.8822    -61.3591   -231.3998    230.1946
     -1.8939      0.2468     -1.2868    -39.8044    -26.9882    -57.7490   -215.8426    205.9676
     -1.9234      0.2611     -1.6977    -37.4691    -25.4048    -55.1298   -205.7976    189.7621
     -1.9496      0.1775     -1.2998    -39.7305    -26.9381    -43.0756   -223.6478    217.3527
     -1.9242      0.2399     -0.9262    -41.8538    -28.3777    -63.0089   -229.7822    232.0859
     -1.9016      0.2250     -0.7452    -42.8829    -29.0755    -60.8211   -236.6896    234.7410
     -1.8910      0.1951     -1.1202    -40.7510    -27.6300    -48.2894   -220.4697    216.0000
     -1.9132      0.2676     -1.1544    -40.5570    -27.4985    -65.4584   -221.3394    216.7140
     -1.9152      0.1700     -1.4775    -38.7207    -26.2534    -38.1079   -212.9716    202.0605
     -1.9354      0.1946     -1.1608    -40.5206    -27.4738    -49.4027   -221.6987    224.6722
     -1.9156      0.2921     -1.4941    -38.6262    -26.1894    -65.4900   -209.5396    199.3701
     -1.9364      0.1941     -1.5219    -38.4679    -26.0820    -43.1171   -215.7826    201.7216
     -1.9382      0.2674     -0.0700    -46.7205    -31.6774    -83.5337   -264.6401    276.0118
     -1.8538      0.2430     -1.0771    -40.9964    -27.7964    -58.5848   -220.0711    207.2396
     -1.9106      0.2177     -1.1485    -40.5902    -27.5210    -53.4734   -223.4191    216.6662
     -1.9149      0.2483     -2.0328    -35.5643    -24.1133    -47.3439   -190.6791    173.2581
     -1.9723      0.2080     -1.6505    -37.7374    -25.5867    -45.6960   -213.1126    202.7957
     -1.9465      0.2762     -0.9877    -41.5045    -28.1409    -70.9662   -232.8599    230.6031
     -1.9052      0.2765     -1.1540    -40.5591    -27.4999    -66.4659   -225.1871    211.5928
     -1.9152      0.2515     -1.3830    -39.2574    -26.6173    -57.4193   -217.8944    203.1491
     -1.9294      0.1508     -1.0423    -41.1939    -27.9303    -39.7497   -229.4974    228.0986
     -1.9085      0.1531     -1.3174    -39.6302    -26.8701    -37.3850   -210.7911    214.1969
     -1.9253      0.1795     -1.0328    -41.2479    -27.9669    -47.5040   -223.8333    230.5072
     -1.9079      0.2000     -1.5295    -38.4250    -26.0530    -44.7291   -205.2986    200.4657
     -1.9387      0.2698     -0.8276    -42.4146    -28.7580    -71.9042   -237.1403    237.7084
     -1.8958      0.1451     -1.0022    -41.4219    -28.0849    -37.7799   -227.3749    223.0942
     -1.9061      0.3101     -1.0239    -41.2986    -28.0013    -77.8629   -222.7043    221.9988
     -1.9074      0.2377     -0.8313    -42.3930    -28.7434    -62.0535   -238.7000    228.2661
     -1.8960      0.2161     -0.9557    -41.6861    -28.2641    -55.5001   -228.0729    223.6996
     -1.9033      0.1945     -0.8454    -42.3133    -28.6893    -52.3103   -231.5144    232.4091
     -1.8968      0.2711     -0.8031    -42.5536    -28.8522    -71.4633   -231.8430    230.7263
     -1.8944      0.2962     -0.9389    -41.7816    -28.3288    -74.3781   -231.4402    219.4285
     -1.9023      0.2532     -1.2618    -39.9463    -27.0844    -59.1271   -221.7881    205.8956
     -1.9218      0.2533     -1.5752    -38.1651    -25.8768    -55.2662   -210.3709    195.6428
     -1.9416      0.1935     -1.2979    -39.7415    -26.9456    -46.5747   -222.4010    215.6185
     -1.9241      0.1633     -0.8752    -42.1441    -28.5746    -45.2481   -231.5958    237.2978
     -1.8986      0.2711     -1.2456    -40.0387    -27.1470    -64.7386   -214.2487    210.5749
     -1.9208      0.1682     -1.8463    -36.6245    -24.8322    -33.1051   -200.4522    184.4378
     -1.9595      0.2768     -1.1262    -40.7172    -27.6071    -69.5898   -227.1326    227.6808
     -1.9135      0.2810     -1.5932    -38.0631    -25.8076    -60.5259   -210.3837    191.2321
     -1.9428      0.2596     -0.9021    -41.9907    -28.4705    -67.5224   -239.6134    231.9720
     -1.9002      0.2352     -1.2329    -40.1107    -27.1959    -55.7946   -220.1668    209.1217
     -1.9200      0.2597     -1.8583    -36.5563    -24.7859    -52.3321   -198.8164    181.6973
     -1.9603      0.2676     -0.8407    -42.3396    -28.7072    -71.1541   -243.1819    239.0631
     -1.8966      0.2618     -1.4793    -38.7100    -26.2462    -57.8193   -211.5944    194.9081
     -1.9355      0.1543     -0.4912    -44.3264    -30.0543    -47.4688   -251.1796    256.7276
     -1.8766      0.1900     -1.2388    -40.0774    -27.1733    -45.8570   -210.0722    210.4811
     -1.9204      0.2372     -0.7537    -42.8343    -29.0426    -64.7155   -236.2568    239.5770
     -1.8915      0.2643     -1.0284    -41.2732    -27.9841    -65.6643   -225.4168    217.2120
     -1.9076      0.2274     -1.3448    -39.4749    -26.7648    -52.5298   -217.2894    205.1111
     -1.9270      0.1252     -0.8341    -42.3774    -28.7328    -36.3255   -235.0152    240.2522
     -1.8962      0.1762     -0.8970    -42.0199    -28.4904    -47.9843   -223.0592    232.8586
     -1.8999      0.2478     -0.6007    -43.7039    -29.6322    -69.1820   -238.2003    243.0674
     -1.8828      0.1896     -0.8113    -42.5069    -28.8205    -50.6744   -231.6662    228.9445
     -1.8949      0.2029     -1.1931    -40.3368    -27.3492    -49.5612   -216.3685    214.2211
     -1.9176      0.2253     -0.3317    -45.2328    -30.6688    -67.7896   -251.8427    260.0865
     -1.8679      0.2786     -0.9112    -41.9393    -28.4357    -70.3917   -225.8389    218.1443
     -1.9007      0.2625     -1.3097    -39.6741    -26.8999    -60.6309   -218.9179    203.5474
     -1.9248      0.2811     -1.1406    -40.6354    -27.5516    -68.4187   -227.5512    216.3569
     -1.9144      0.2082     -1.3008    -39.7247    -26.9342    -48.8460   -220.5302    208.6681
     -1.9242      0.3131     -0.9617    -41.6519    -28.2409    -79.5021   -231.2302    225.9569
     -1.9037      0.2646     -0.7956    -42.5963    -28.8812    -68.9681   -239.9997    228.0005
     -1.8939      0.2184     -1.7000    -37.4559    -25.3958    -45.0520   -202.6312    185.3949
     -1.9498      0.2197     -1.2151    -40.2121    -27.2647    -54.2857   -224.7874    221.6792
     -1.9190      0.3106     -1.6584    -37.6925    -25.5563    -66.5265   -205.6497    190.1060
     -1.9471      0.2020     -1.1762    -40.4331    -27.4145    -49.7646   -231.0929    220.1735
     -1.9166      0.2815     -1.3770    -39.2914    -26.6404    -65.0315   -214.2483    205.4650
     -1.9290      0.2438     -0.8871    -42.0760    -28.5284    -63.5949   -238.0749    230.6628
     -1.8993      0.2582     -1.1401    -40.6379    -27.5533    -62.6344   -222.7520    213.2049
     -1.9144      0.2292     -0.8592    -42.2349    -28.6361    -60.3351   -235.4935    230.7260
     -1.8976      0.2395     -1.6460    -37.7629    -25.6040    -50.8218   -203.1883    189.3147
     -1.9462      0.2299     -1.1198    -40.7534    -27.6316    -57.7377   -229.2094    224.5637
     -1.9131      0.2288     -1.5495    -38.3115    -25.9760    -50.3327   -208.5553    197.2594
     -1.9400      0.2014     -1.2622    -39.9445    -27.0832    -49.0752   -222.1422    217.7767
     -1.9219      0.1450     -1.2365    -40.0900    -27.1818    -36.3746   -218.3785    219.0768
     -1.9203      0.2283     -0.6470    -43.4410    -29.4539    -64.6016   -237.3639    247.0726
     -1.8854      0.2422     -1.2704    -39.8974    -27.0513    -56.7486   -215.1062    205.4643
     -1.9224      0.1820     -1.1496    -40.5841    -27.5169    -45.5512   -224.4726    220.3901
     -1.9150      0.1385     -1.3286    -39.5671    -26.8273    -33.8119   -212.9068    214.1874
     -1.9260      0.2548     -1.2416    -40.0610    -27.1622    -62.0985   -216.3592    217.5920
     -1.9206      0.2045     -1.5748    -38.1675    -25.8783    -44.6219   -209.7621    197.2890
     -1.9416      0.2318     -1.2992    -39.7339    -26.9404    -55.7197   -219.9261    215.9367
     -1.9241      0.2560     -0.9318    -41.8223    -28.3564    -66.2000   -232.9841    228.9347
     -1.9019      0.2850     -0.8112    -42.5076    -28.8210    -74.2021   -236.0774    228.2697
     -1.8948      0.2143     -1.4569    -38.8377    -26.3328    -47.4452   -212.6516    196.9003
     -1.9341      0.2189     -1.1749    -40.4402    -27.4193    -54.3041   -223.9195    220.9219
     -1.9165      0.2147     -0.8858    -42.0835    -28.5335    -56.9317   -232.3118    232.0206
     -1.8992      0.3216     -1.6546    -37.7136    -25.5706    -68.5040   -203.1521    186.5604
     -1.9468      0.1677     -1.3240    -39.5930    -26.8449    -39.8501   -225.8393    213.5675
     -1.9257      0.2587     -1.0842    -40.9562    -27.7691    -65.1378   -223.8653    224.0765
     -1.9110      0.2054     -0.9690    -41.6105    -28.2128    -52.9849   -230.7585    225.5887
     -1.9041      0.2892     -0.6479    -43.4357    -29.4503    -78.5187   -239.3757    238.5894
